time DEVICE_CURRENT_L01_RX1 DEVICE_CURRENT_L01_RX2 DEVICE_CURRENT_L01_RX3 DEVICE_CURRENT_L02_TX1 PHASE_B01 PHASE_B02 PHASE_B03 PHASE_B04 PHASE_B05 PHASE_B06 PHASE_B07 PHASE_B08 PHASE_B09 PHASE_B10 PHASE_B11 PHASE_B14
5.4999999999999996e-12 -1.2822201282312363e-05 -1.2822201282312368e-05 -9.4851732282368543e-06 8.2999717375574515e-06 3.7557334888923277e-01 3.7557334888923283e-01 -9.4523370921997002e-02 9.4523370921997071e-02 -1.8843879545861822e-04 1.8843879545860868e-04 3.6940099015231687e-01 5.0841942251874828e-01 2.4484583415096833e-01 6.6047359453461107e-01 6.6047359453461096e-01 1.1137958759871041e+00
5.7499999999999995e-12 -1.0452942539972893e-05 -1.0452942539972902e-05 -6.8308172410780643e-06 6.6276051100818539e-06 3.8922219284226606e-01 3.8922219284226611e-01 -1.0270636839073224e-01 1.0270636839073230e-01 9.7810721057515950e-04 -9.7810721057516904e-04 3.7749268884370324e-01 5.3292149957050194e-01 2.5417249123300534e-01 6.8564041556721100e-01 6.8564041556721089e-01 1.1573043560442240e+00
6.0000000000000003e-12 -7.9264179913635590e-06 -7.9264179913635675e-06 -4.5502870238564337e-06 4.4969676082582448e-06 3.9926539707545594e-01 3.9926539707545600e-01 -1.1156160885596351e-01 1.1156160885596354e-01 3.4406188931528203e-03 -3.4406188931528302e-03 3.8308883838975105e-01 5.5310826909217536e-01 2.6221485326302268e-01 7.0092946541625312e-01 7.0092946541625301e-01 1.1819374333670374e+00
6.2500000000000002e-12 -5.8992769900140194e-06 -5.8992769900140186e-06 -3.1907719137958659e-06 2.5478744485079956e-06 4.0556289358339431e-01 4.0556289358339437e-01 -1.1926048446411112e-01 1.1926048446411112e-01 6.4985042425451762e-03 -6.4985042425451858e-03 3.8724111822678436e-01 5.6678425949623690e-01 2.6775752195054581e-01 7.0740726949047983e-01 7.0740726949047972e-01 1.1920812583829177e+00
6.5000000000000002e-12 -4.5968467502398714e-06 -4.5968467502398612e-06 -2.4033413862675704e-06 1.2766625080273695e-06 4.0851248722373007e-01 4.0851248722373018e-01 -1.2392422308859223e-01 1.2392422308859224e-01 9.0068128370932640e-03 -9.0068128370932726e-03 3.9022333805403464e-01 5.7332336374565218e-01 2.7002230578657666e-01 7.0875111282438974e-01 7.0875111282438963e-01 1.1960054496482273e+00
6.7500000000000001e-12 -3.8253933184641651e-06 -3.8253933184641575e-06 -1.7706243624438526e-06 8.2896805737919641e-07 4.0919996234988631e-01 4.0919996234988643e-01 -1.2477747643587467e-01 1.2477747643587468e-01 1.0028556384212992e-02 -1.0028556384213004e-02 3.9177360769763081e-01 5.7434177691315624e-01 2.6944325811149433e-01 7.0964935993577694e-01 7.0964935993577694e-01 1.2015152814007286e+00
7.0000000000000001e-12 -3.2835900759960890e-06 -3.2835900759960895e-06 -1.3206561939853800e-06 1.0031944274893392e-06 4.0928152897781794e-01 4.0928152897781811e-01 -1.2278728973156287e-01 1.2278728973156289e-01 9.4026703725252521e-03 -9.4026703725252677e-03 3.9191985895676268e-01 5.7311512493963868e-01 2.6766257901694729e-01 7.1372373488711871e-01 7.1372373488711882e-01 1.2121484829217570e+00
7.2500000000000000e-12 -2.8289553461297730e-06 -2.8289553461297815e-06 -1.2854569831528765e-06 1.4123605566693122e-06 4.1045165473562689e-01 4.1045165473562700e-01 -1.2024835216938151e-01 1.2024835216938151e-01 7.8629065701445004e-03 -7.8629065701445212e-03 3.9157082442733637e-01 5.7316260979241440e-01 2.6676261416505831e-01 7.2204694297886540e-01 7.2204694297886551e-01 1.2264876065746899e+00
7.5000000000000000e-12 -2.5021035380465780e-06 -2.5021035380465953e-06 -1.6173776562335238e-06 1.6935403879139878e-06 4.1370805596618387e-01 4.1370805596618393e-01 -1.1949930995124722e-01 1.1949930995124719e-01 6.6118792741225590e-03 -6.6118792741225790e-03 3.9226173718609764e-01 5.7681862528413230e-01 2.6822538155489728e-01 7.3304546624517586e-01 7.3304546624517597e-01 1.2407253122828794e+00
7.7499999999999991e-12 -2.3654368595975252e-06 -2.3654368595975367e-06 -1.9153724813201475e-06 1.6573893042767354e-06 4.1888879029613890e-01 4.1888879029613901e-01 -1.2161608058874794e-01 1.2161608058874793e-01 6.6062974813566426e-03 -6.6062974813566539e-03 3.9516848034180740e-01 5.8444725486870008e-01 2.7222939074354696e-01 7.4374979879383774e-01 7.4374979879383796e-01 1.2520816583288528e+00
